comment,label
স্বৈরাচার নিপাত যাক গণতন্ত্র মুক্তি পাক,political
তুমি  কো ভোটের  মধ্যে  জাতীয়  সংসদে গিয়েছিলো  তুমি  তো একটা  অনুদানের,political
ভারত আমেরিকাকে বুঝাতে চায় যে আমরা বাংলাদেশের নির্বাচন নিয়ে কিছু বলব না আপনারাও কিছু বলবেন না।,political
তোমাদের বিএনপির বিদেশ উপদেষ্টা আমেরিকার চিল্লাচিল্লিতে বাংলাদেশের কিছু যায় আসেনা।,political
শেখ হাসিনা সরকার বারবার দরকার।,political
ভারত আমেরিকা কারো উপরে ভরসা না করে নিজেদের গণতন্ত্র নিজেদের প্রতিষ্ঠিত করতে হবে,political
"ভারত আসলে ১৯৭০-৭১থেকেই জালিয়াতি করে আসছে, এখন আর
ও দেশকে শোষণ করার জন্য আপ্রান চেষ্টা করছে আওয়ামী লীগকে দিয়ে।এখন আর একটা মুক্তিযুদ্ধের দরকার আমি মনে করি।
্",political
তোমরা যখন ক্ষমতায় থাকো তখন কি বা *ল ছিড়ো।,political
বি এনপি কি এখন বুঝল ভারত কি চায়?,political
এসব কথায় সরকার পরিবর্তন হবেনা আপু। রাস্তায় নামুন আন্দোলন করুন। বিএনপি নেতাদের জেলের ভয় ধরেছে।,political
"যদি আপনার বিয়েটা হয়ে যেতো,  তাহলে আপনার মাথা ঠিক হয়ে যেতো।  জনগণ BNP কে চাই না।",political
ভারতের  তাবেদার সরকার জনগণের ভোট চোর,political
এই কুলাঙ্গার রুমিন কে কেউ থামাও। মাথা মোটা এই মহিলা রাজনীতির (র) ও জানেনা???,political
তার মানে এই বার ও আমি আমার ভোট দিতে পারব না,political
ভারতের কোন কথাই বাংলার জনগণ শুনবে না তাই আমাদের বোট আমরা দেব,political
দিনের ভোট রাতে হবে।,political
ভারত হয়েছে গণতন্ত্রহিং রাষ্ট্রের পক্ষে।,political
"উন্নয়ন স্মার্ট বাংলাদেশ ইত্যাদি এক একটি প্রতারণামূলক শব্দ। 
দেশের অধিকাংশ মানুষ সচেতন না হওয়ায় ক্ষমতা লোভীরা এধরণের শব্দ ব্যবহার করে জনগণকে প্রতারিত করে যাচ্ছে। 
মানুষের ভোটাধিকার হরণ করে, ব্যক্তিস্বাধীনতা কেড়ে নিয়ে  এধরণের অবান্তর কথা বলা ফ্যাসীবাদী শাসকদের প্রধান বৈশিষ্ট্য। 
বাস্তবে এগুলোর কোনটাই দেশের গণতন্ত্র, সভ্যতা এবং সুশাসনের বিকল্প হতে পাoরে না।চট",political
জনগন বিজয় ইনশাআল্লাহ হব,political
জনগন পুলিশের সামনে অসহায় এখন আর কিছু করার নাই।,political
১৪ তে সুজাতা সিং যা করেছে তা বাংলাদেশর গণতন্ত্র রক্ষা করেছে। একটা সন্ত্রাসী দলকে ধ্বংস করেছে,political
দুর্নীতিতে পাঁচ বার বিশ্ব চ্যাম্পিয়ন তাদেরই আবার বড়গলা,political
বি এনপি কে সরাসরি ভারতের বিরদীতা করে মাঠে রাজনিতী করতে হবে সময়ের দাবী,political
এদেশের জনগণ ঐক্য বদ্ধ ভাবে। আন্দোলনের মাধ্যমে এই সরকার কে  নামাতে হবে। এছাড়া বিকল্প পথ নেই।,political
আমরা ছোট কালে সুনতাম যে আওমী লীগ আসলে বাংলাদেশ ভারত হবে ঠিক সেটায় হইছপ,political
বাংলাদেশের সব অশান্তির মুল কারণ ভারত যেটা জামাতে ইসলাম সবসময় বলে,political
"এভাবে পেচাল না পাইরা মাঠে নামেন!!  খালি টকশো,  আর ভিডিও করতে পারেন। মাঠে নাইমা মার খান",political
"ভারত আমাদের দেশে সবসময় একটি পুতুল সরকার চায়,যাহারা শুধু ভারতেরই তাঁবেদারি করবে।",political
"আপু হাসিনা থাকবে,কিছু হবে না,,,,,",political
খাম্বা তারেক ক্ষমতায় আসলে আরো সমস্যা বেশি হবে,political
ভারতের দালালি থেকে মুক্তি পেতে চাই বাংলাদেশ,political
ফেইসবুক নেত্রী।,political
তোরা আর ভালা কই তোরা তো জনগনের কাছে না গিয়ে আমেরিকার কাছে যাছ।,political
নিজের যুদ্ধ নিজেকেই করতে হয়।,political
"ভারতের ব্যাপার জামাত ৭১ সালে বুঝছে, আর এখন বি এন পি কিছুটা বুঝতে ছে!",political
কেন এখন আপনার লাগছে?ইসলামী দলগুলো কে সাথে নিতে আপনাদের দালালদের কারনেই তো সম্ভব হয়নি?,political
বাংলাদেশের জনগনের সাথেই পারে না আবার পরছে ভারতের পিছনে,political
"রাজনীতি, কূটনীতি, আন্দোলনে জনগণের সম্পৃক্ততা এই তিন ক্ষেত্রেই বি এন পি অনেক পিছিয়ে। আর এটাই হলো বাস্তবতা।",political
"নব্য নীলকর দের বিরুদ্ধে স্বাধিকার  আন্দোলন করতে হবে, সেটা এখন থেকেই শুরু করা উচিত।",political
ঘরে বসে না থেকে কঠোর করে আন্দোলন দেন রাস্তায় নামুন কিভাবে শুধু বক্তব্য দিয়ে যাচ্ছে আজকে ১৫ বছর,political
বুঝা গেছে এবারও আওয়ামী লীগ ক্ষমতায় আসবে,political
ভারত আমাদের স্বাধীনতা এনে দিয়েছে,political
যে চিন্তা জামায়াত 50 বছর আগে করেছিল সেই চিন্তা এখন সবাই করছে।,political
কোন লাভ নাই।।  জননেত্রী শেখ হাসিনা অধীনে নির্বাচন হবে,political
"দেশ গনতন্ত্র সার্বভৌমত্ব রক্ষা করা যাদের দায়িত্ব তারা ভারতের বিরুদ্ধে লরবে,,,স্বাধীনতা গনতন্ত্র দেশ ধংশ করে দিচ্ছে ভারত,,",political
আপনারা যত দিন ভারতের বিপক্ষে কথা বলবেন তত দিন আপনারা কোনঠাসা থাকবেন,political
মোদি ক্ষমতায় আসার পর নয়া পল্টনে বসে মিস্টি খেয়েছিলেন মনে নাই। এখন মোদি ভালো না,political
ভারত আমাদের প্রধান শত্রু।  তাদের বিরুদ্ধে ইসলামি দল গুলো নিয়ে আমাদের দাড়াতে হবে।,political
"কা আপু বিজিবি ক্ষমতা আসার পরে মিষ্টি খাইছিলেন মন নাই, এখন এই বিজিবি সরকারকে তিতা লাগে নাকি, হা হা হা",political
সবাই সাবধান সেফুদা কিম্তু জাতিসংঘের উপদেশটা।,political
"বাংলাদেশে এমপির বেতন ৪০ হাজার, নির্বাচনের খরচ ৪০ কোটি",political
এটা হচ্ছে বিজয় দিবসের উপহার আমাদের জন্য,political
"বাপ বাপ ই থাকে , 😘😘",political
তোমাদের দেশ বাংলাদেশ কোনো দিন উঠেছে য়ারাউঠেছে তাদেরকে সাপোর্ট করতে শেখো তোমারাতো কোনোদিন শেনীফাইনালে উঠতে পারবে না,political
পৃথিবীতে দুই ধরনের মানুষ আছে এক যারা শিক্ষিত আর বাকিরা বাংলাদেশি । ধন্যবাদ(2),political
আওয়ামী লীগ হারলেও দেশের মানুষ এর থেকে বেশী খুশী হবে 🤣🤣,political
"বাংলাদেশ ভিখারী দেশ ইন্ডিয়া আছে 
বলে তোরা তো খেতে পারছিস",political
তাদের দিন দিন সাহস বেড়ে চলছে কারন একটাই আওয়ামিলীগ৷  তাই ভারতের দালালী করছে,political
যারা এধরনের কথা বলে তারাই সবচেয়ে বড় রাজাকার।,political
সালা তুই হইলি আসল রাজাকার,political
হেতেরে রাজাকার ছেলের মত লাগে,political
গোবর একটা অদ্ভুত জিনিস রে ভাই । পানিতে গেলে হয় মাছের খাদ্য। চুলায় গেলে হয় জালানি। জমিতে গেলে হয় জৈব সার। ইন্ডিয়া গেলে হয় প্রসাদ। আর মস্তিষ্কে গেলে হয় এই রুকুম অভিনেতা।,political
অবশ্যই বাংলাদেশীদের উচিত এমন উগ্রবাদ ে ভারতের সাপোর্টার এটা দালালের বাচ্চা সকল নাটক সিরিজ বয়কট করা,political
ভারতকে নিয়ে যেমন উল্লাস করছে।।তোর অভিনয় করা নাটকে তেমন ধংস করার ক্ষমতা রাখেন বাংলাদেশ,political
১৯৭১ সালের পাকিস্তানি রক্তে ভরে আছে বাংলাদেশ,political
অভিনন্দন চট্টগ্রাম ১ রুহেল ভাই,political
এখন আর চিন্তা নেই।  মনোনয়ন পাওয়া মানেই বিনা ভোটে এমপি।,political
স্বাধীনতার এত বছর পর পটিয়াতে অরিজিনাল আওয়ামী লীগের হাতে নৌকা অশেষ কৃতজ্ঞতা ও ধন্যবাদ মাননীয় প্রধানমন্ত্রী জননেত্রী দেশরত্ন শেখ হাসিনা,political
চট্টগ্রাম ১৫ সাতকানিয়া লোহাগাড়া মাটি ও মানুষের নেতা ডক্টর প্রফেসর আবু রেজা মোঃ নেজাম উদ্দিন নদবী ভাই তৃতীয়বারের মতো হ্যাটট্রিক করাই মাননীয় প্রধানমন্ত্রী জননেত্রী  শেখ হাসিনাকে মুজিবীয় শুভেচ্ছা ও অভিনন্দন,political
"চট্টগ্রাম 14-চন্দনাইশের মাটি ও গন মানুষের নেতা আলহাজ্ব নজরুল ইসলাম চৌধুরীকে ধন্যবাদ পুনরায় নৌকার মাঝি হিসেবে দেওয়ার জন্য,,",political
"কেউ চাইলে মেয়র হতে পারে, কেও চাইলে নেতা হতে পারে, ""কিন্তু চাইলেই চট্টলবীর আলহাজ্ব  এ বি এম মহিউদ্দিন চৌধুরী হওয়া যাই না।"" ",political
"চট্টগ্রাম বিভাগে নৌকার মনোনীত প্রার্থীরা,অভিনন্দন আপনাদের সবাইকে।",political
চট্টগ্রাম সব আসন থেকে মনোনয়ন প্রাপ্ত সবাইকে রাউজান বাসীর পক্ষ থেকে শুভেচ্ছা ও অভিনন্দন,political
চট্টগ্রাম -৬ নান্দনিক নেতা জননেতা এ বি এম ফজলে করিম চৌধুরী!,political
নৌকার মাঝি Mohibul Hassan Chowdhoury,political
"চট্টগ্রাম ৬,,,
সেরা লিডার",political
খাদিজাতুল আনোয়ার সনি MP আপু,political
"রাউজানবাসীর উন্নয়নে যাকে পায়
নৌকার মাঝি করিম ভাই.... 
চট্টগ্রাম ৬",political
"রাউজানবাসীর উন্নয়নে যাকে পায়
নৌকার মাঝি করিম ভাই....",political
পটিয়ার নৌকার মাঝি হুইপ শামসুল হককে না দিয়ে ভূল করেছেন। পটিয়ার মাটি ও নেতা জনগণের সেবক। পটিয়ার জন্য হুইপ এমপি শামসুল হক চৌধুরীর বারবার দরকার।,political
হ ন ফোন য়া দর নির্বাচন নয়,political
দেশ কে জয় বাংলা করার জন্য ভোট চোর দেরকে রাষ্ট্রীয় ভাবে চিহ্নিত করা হচ্ছে।,political
চট্টগ্রাম -০৮ আসনে আনারিরে দিছে.,political
বাবা বদির আসনে কে?,political
চট্রগ্রাম ১৪ আসনে Nazrul Islam Chowdhury MP কে পেয়ে খুবই আনন্দিত।আপনার মত সৎ মানুষের খুবই প্রয়োজন চন্দনাইশে।,political
চট্টগ্রাম বাসি নৌকায় ভোট না দিয়ে পায়খানা করে দিবে,political
"হাটহাজারীবাসীর আশা আকাঙ্ক্ষা,,
বিশ্বাস,ভরসার একটিই নাম....
জননেতা এম এ সালাম....",political
অভিনন্দন নৌকার মাঝিদের,political
রাউজানের মাটি করিম ভাইয়ের ঘাটি,political
"আলহামদুলিল্লাহ 

অভিনন্দন চট্টগ্রাম -১ আসনের নৌকার মাঝি মাহবুবুর রহমান রুহেল ভাই! ",political
অভিনন্দন রইলো সকল নৌকার মাঝিদের জন্য।,political
অভিনন্দন আনোয়ারা -কর্ণফুলীর নৌকার মাঝি আলহাজ্ব সাইফুজ্জামান চৌধুরী জাবেদ ভাই,political
ওরা এমপি হয়ে গেছে,political
সবাইকে অনেক অনেক অভিনন্দন,political
অভিনন্দন আমাদের রাংগুনিয়ার অভিভাবক জননেতা ডঃ হাছান মাহমুদ এম পি,political
"Abdus Salam আপনাকে দরকার ছিল, আমাদের চট্টগ্রাম ৮ আসনে ",political
রাঙ্গামাটি দিপংকর তালুকদার স্যার অভিনন্দন। নৌকা মার্কায় বিপুল ভোটে বিজয়ী হবে,political
"চট্টগ্রাম ৯ আসন
আমার নেতা Mohibul Hassan Chowdhouryy",political
বীর চট্রলার অভিভাবক জননেতা জনাব ড. হাসান মাহমুদ এমপি।,political
চট্টগ্রাম১৫ আসনে আমিনুল ইসলাম আমিনকে দেওয়ার উচিত ছিল,political
বনফুলের নমিনেশন কই গেলো?,political
অভিনন্দন চট্টগ্রাম ১০ আসনের নৌকার মাঝি হিসেবে মহিউদ্দিন বাচ্চুকে মনোনীত করাই মাননীয় প্রধানমন্ত্রী দেশরত্ন বেগম শেখ হাসিনাকে অনেক অনেক ধন্যবাদ,political
চট্টগ্রাম ১৬ আসনের এমপি মোস্তাফিজুর রহমান বলছিলেন ওবায়দুল কাদের কাকা কে ধুলায় করবে,political
চট্টগ্রাম ২ খাদিজাতুল আনোয়ার সনি আপুকে অভিনন্দন,political
জয় বাংলা জয় বঙ্গবন্ধু,political
সুষ্ঠু নিরপেক্ষ নির্বাচন হলে একটাই ও পাবে না,political
বাংলাদেশ ইসলামী ফ্রন্টের প্রার্থী  মোমবাতি বিজয় হবে,political
অভিনন্দন সকল নৌকার মাঝিদের,political
চট্টগ্রাম ১-মীরসরাই নৌকার কান্ডারী Mahboob Rahman রুহেল ভাই,political
ভন্ডারি কাকু এবার কি মহিষ মার্কায় নির্বাচন করবে?,political
জয় বাংলা জয় বঙ্গবন্ধু জয় হোক  নৌকার জয় হোক দীপঙ্কর তালুকদারের,political
চকরিয়ায় সি আই পি সালাউদ্দিন আহমেদ কে নমিনেশন দেওয়ার জন্য অসংখ্য ধন্যবাদ।,political
"শুভ কামনা চট্টগ্রাম ১৫
 আবু রেজা মুহাম্মদ নিজামউদ্দিন নদভী",political
বান্দরবান  জনাব বীর বাহাদুর mp,political
অভিনন্দন। চট্টগ্রাম ৫ আসনে  এম এ সালাম ভাই।,political
"অবশেষে ফটিকছড়ির সাধারণ জনতা,নেতা,কর্মীর আশা কবুল হলো। নৌকা তার দলীয় প্রার্থী পেলো লাখো কোটি শুকরিয়া মহান আল্লাহর দরবারে ধন্যবাদ মাননীয় প্রধানমন্ত্রী দেশরন্ত শেখ হাসিনা",political
অভিনন্দন ও মুজিবীয় শুভেচ্ছা সকলকে,political
অভিনন্দন চট্টগ্রাম 4.,political
এই টা তো ভালো হলো না ভাই কাওয়া কে কতো আসনে দিলো আমি জানতে চাই,political
চট্টগ্রাম ৮ আসনের মনোনয়ন বাতিল করা হোক,political
"অভিনন্দন চট্টগ্রামের নৌকার   মাঝি দের,চট্রগ্রামের মাঠিঁ শেখ হাসিনার ঘাঁটি, আধুনিক নান্দনিক চট্টগ্রাম স্মার্ট আমাদেরকে উপহার দিবেন, জয় বাংলা জয় বঙ্গবন্ধু,, বাংলাদেশ চিরজীবী হোক, আমরা আছি নৌকার সাথে, জয় আমাদের, জয় বাংলা জয় বঙ্গবন্ধু,",political
কক্সবাজার আসনের বদি কই?,political
"আলহামদুলিল্লাহ 

অভিনন্দন চট্টগ্রাম -১৩ আসনের নৌকার মাঝি সাইফুজ্জামান চৌধুরী জাবেদ ভাই।",political
পোষ্ট ডিলেটের হিরিক পটিয়াতে অভিভাবক পাল্টে যাচ্ছে দ্রুত!!!!!,political
এবিএম ফজলে করিম চৌধুরী,political
অভিনন্দন  চট্টগ্রাম  ৪ সীতাকুণ্ড  মামুন ভাই,political
খাদিজাতুল আনোয়ার সনি MP অভিনন্দন,political
চট্টগ্রাম যারা নমিনেশন পাইছে তাদেরকে অভিনন্দন ও শুভেচ্ছা,political
চট্টগ্রাম দশ মনে হয় মা বাবা ছাড়া আসন,political
"অভিনন্দন ও শুভ কামনা...
বীর চট্টলা'র 'নৌকা'র মাঝিদের জন্য
#OnceAgainSheikhHasina
'জয় বাংলা🇧🇩জয় বঙ্গবন্ধু'",political
অভিনন্দন চট্টগ্রামের মনোনয়ন প্রাপ্ত নৌকার মাঝিদের,political
"আলহামদুলিল্লাহ
চট্টগ্রাম-৯ আসনের মাটি
Mohibul Hassan Chowdhoury নওফেল ভাইয়ের ঘাঁটি",political
সবাই কে 57 সেকেন্ডে 45 ভোটের শুভেচ্ছা 💐💐💐 সবার জয় বাংলা হয়ে গেছে অলরেডি।,political
স্বাগতম রাতের ভোটের  এমপিরা,political
দাগনভূঞাঁ সোনাগাজী ৩ আবুল বাশার ভাই,political
চট্টগ্রাম আসন ৬ এবি এম ফজল করিম চৌধুরী,political
সমানে ভোট ডাকাতি করে জিতে যাবে  কোন সন্দেহ নাই,political
নজিবুল ফশর মাইজ ভন্ডামী আউট,political
বাংলাদেশ ইসলামী ফ্রন্ট মোমবাতি,political
অভিনন্দন  চট্টগ্রাম  ১৬ আসনের এমপি জনাব মোস্তাফিজুর  রহমান চৌধুরী,political
বিনাভোটে অটো এমপি হওয়ার জন্য তামাশার নির্বাচন,political
৫আসনে আব্দুস সালাম টা কে?,political
সবাইকে আগাম বিজয়ী ঘোষণা করা হল,political
কক্সবাজার এ বদি কই?,political
"মীরজাফর , বেঈমান ও দালাল মেজর ইব্রাহিম কি হবে !?",political
চট্টগ্রাম জেলায়  যাঁরা মনোনয়ন পেয়েছেন তাঁদের আগাম শুভেচ্ছা ও সফলতা কামনা করি।,political
আজম নাসিরকে প্রার্থী না দিয়ে প্রহসনের প্রার্থী নির্বাচন হলো,political
আলহামদুলিল্লাহ চট্টগ্রামে ১ মাহবুবুর রহমান রুহেল ভাইকে দিয়ে শুরু হয়েছে কংগ্রেচুলেশন মাহবুবুর রহমান রুহেল ভাই,political
"সবাই এম,পি এখন অপেক্ষায় কে কে মন্ত্রী হবে।",political
সবাই কে 57 সেকেন্ডে 45 ভোট দিনের বেলা হয় জানো কাকা ডাকাতি করে জিতার পরিকল্পনা চলছে,political
"চট্টগ্রাম ২ ফটিকছড়ি যোগ্য প্রার্থী বাঁচায় করেছে আওয়ামী লীগ, অভিনন্দন",political
ভান্ডারীর কিতা হলো,political
সবাই কে 57 সেকেন্ডে 45 ভোটের শুভেচ্ছা,political
"সবার থেকে বড় জয়,,,ফটিকছড়ি বাসীর,,সনি আপু,,",political
"অভিনন্দন সকলকে 
চট্টগ্রাম ৮ আসন
নোমান আল মাহমুদ ভাই ",political
সবাই জিতে গেছে।।,political
"লাভ নাই, 
রাজাকারদের কথা শোনার লোক এদেশে নাই।",political
সাংবাদিকদের  সত্য  তুলে ধরা দরকার। কাউকে ভয় করার দরকার  নাই।,political
পীরসাহেব তোমায় নির্দেশ ভোটকেন্দ্রে কেউ যাবে না,political
একটা স্বাধীন দেশে সকল জনগনের সমান অধিকার থাকা দরকার।,political
বিএনপিমানেবিনোদন,political
"তোমরা তো হিজলা 
এত জনপ্রিয়তা  নির্বাচনে  আসলে না কেন?",political
জয় বাংলা জয় বঙ্গবন্ধু,political
"৭ তারিখ সারাদিন পরিবার কে সময় দিন,, 
ডামি নির্বাচন বর্জন করুন 
স্বৈরাচার মুক্ত দেশ গড়ুন,,!! 
",political
"পুরা বাংলাদেশে মাত্র ৪/৫ জন লোক
ভাইরাল হওয়ার জন্য বক্তব্য দিচ্ছেন দেন কিন্তু জঙ্গি সন্ত্রাসী দল,টানা ৫বারের 
দুর্নীতিতে চ্যাম্পিয়নদের পক্ষে দালালি করা বন্ধ করুন।

এই বাংলাদেশে কার কি অবদান এই দেশের মানুষ জানে।  তাই তো কোন 
আঙ্গুবাঙ্গু দলের ভূয়া আন্দোলনে দলীয়কর্মী ছাড়া সাধারণ জনগনের বিন্দুমাত্র 
সমর্থন নাই।
সাধারণ জনগন যা চায় তাই হচ্ছে আর হবে। ভন্ডামি, প্রতারনা, মিথ্যাচার, গুজব 
রটানো বাদ দিয়ে সঠিক পথে আসুন।
জ্বালা অন্তর জ্বালা.....",political
"তারেক সঙ্গ ত্যাগ করুন, ভূয়া দল ভূয়া রাজনীতি বর্জন করুন।",political
" জাতি একটা অনুষ্ঠান নির্বাচন দেখতে যাচ্ছে।জাতির জন্য দুঃখ জনক 
গনতন্ত্র হারিয়ে যাচ্ছে। জনগণ মারা যাচ্ছে রাষ্ট্র ঘুমিয়ে পড়ছে প্রশাসন অন্ধ
 হয়ে গেছে আমজনতা দিশেহারা ধর্ষণ,চাঁদা বাজি,টেন্ডার বাজি।পাঁচ বছরের
 জন্য আবার বহাল রাখা হলো হ্যা জয় যুক্ত হয়েছে...?",political
"জোর জুলুম করে ভোট কেন্দ্রে ভোট দিতে হবে বলছে সরকারদলীয় নেতা-কর্মী না 
হলে হামলার হুমকি দিয়ে হয়েছে বিভিন্ন সংবাদমাধ্যমে এই রকম খবর প্রকাশ করা হয়েছে",political
আপনাদের নির্বাচনে অংশ গ্রহণ করা উচিত ছিল।,political
উন্নয়নের জন্য আবারও নৌকা মার্কায় ভোট দিব,political
"এই বুড়ো বয়সে বক বক না করে বাসায় গিয়ে শুয়ে থাক। যদি বেঁচে থাক পাঁচ বছর পর
 আবার নির্বাচনে আসিও।",political
জিতবে আবার নৌকা,political
সাড়ে সাত তারিখে তারেক রহমান দেশে আইতাছে,political
নৌকা মার্কায় ভোট দিন,political
"When you will decide to join in the election without Jamat and anti liberation forces
, please let the people of Bangladesh know that?",political
Bote bada dewar jonnu bnpke America changtion dibe,political
সকাল সকাল ভোট দিয়া আপনাদের কথা মতো পরিবাররে সময় দিমু,political
"অযথা ট্রেন বাসে আগুন না দিয়ে, নির্বাচন গুলো করতেন, তাহলে জনসম্মুখে মুখটা 
থাকত,  মানুষ এখন রাজনৈতিক ব্যাক্তিত্ব গুলো দের পছন্দ করে না।",political
"এই  একজন কত শক্তিশালী , বুঝতে হবে, কেউ পারছে না?",political
"বাংলাদেশে প্রথম ভোট ছাড়া এবং পৃথিবীতে প্রথম শপথ ছাড়া বন্দুক ঠেকিয়ে রাষ্ট্রপতি
 হয়েছিছেল স্বৈরশাসক মেজর জিয়া।
যে দলের জন্মই অগণতান্ত্রিক ভাবে সেই দলের তারাই এখন আবার জনগণকে গণতন্ত্রের 
ছবক দেয়, বিএনপির আবালগুলার মুখে থু, 
গ্রেনেড মারা দল বিএনপির জন্মই অবৈধভাবে,
যে দল পরবর্তীতে ক্ষমতায় এসে দূর্নীতিতে ৫ বার বিশ্বচ্যাম্পিয়ন করেছিলো দেশকে,
চাচা আপনার কোনো লজ্জ্বা নাই",political
অবৈধ নির্বাচন মানে না মানবো না তামাশার নির্বাচন মানি না মানবো না,political
